,0
368,933100
369,933103
370,933115
371,933121
372,933125
373,933151
374,933154
375,933159
376,933193
377,933198
378,933199
379,933201
380,933208
381,933228
382,933236
383,933246
384,933262
385,933290
386,933302
387,933311
388,933313
389,933316
390,933326
391,933335
392,933336
393,933337
394,933348
395,933373
396,933382
397,933395
398,933410
399,933415
400,933419
401,933425
402,933430
403,933432
404,933439
405,933440
406,933445
407,933447
408,933450
409,933459
410,933462
411,933465
412,933471
413,933478
414,933479
415,933481
416,933498
417,933520
418,933544
419,933552
420,933555
421,933557
422,933559
423,933563
424,933567
425,933588
426,933590
427,933595
428,933596
429,933632
430,933640
431,933642
432,933645
433,933651
434,933678
435,933681
436,933683
437,933691
438,933699
439,933705
440,933728
441,933760
442,933779
443,933800
444,933817
445,933837
446,933846
447,933860
448,933864
449,933884
450,933890
451,933891
452,933899
453,933905
454,933906
455,933908
456,933912
457,933913
458,933914
459,933961
460,933976
461,933991
462,933997
463,934007
464,934022
465,934027
466,934055
467,934059
468,934070
469,934071
470,934078
471,934081
472,934092
473,934106
474,934122
475,934130
476,934162
477,934165
478,934180
479,934183
480,934184
481,934186
482,934188
483,934202
484,934203
485,934214
486,934231
487,934238
488,934240
489,934242
490,934253
491,934263
492,934265
493,934269
494,934270
495,934278
496,934286
497,934326
498,934329
499,934330
500,934335
501,934342
502,934343
503,934369
504,934371
505,934376
506,934384
507,934405
508,934408
509,934409
510,934415
511,934416
512,934419
513,934422
514,934432
515,934439
516,934445
517,934453
518,934461
519,934464
520,934467
521,934477
522,934485
523,934488
524,934509
525,934517
526,934518
527,934519
528,934548
529,934551
530,934561
531,934575
532,934588
533,934593
534,934630
535,934651
536,934654
537,934660
538,934661
539,934662
540,934679
541,934682
542,934688
543,934703
544,934709
545,934715
546,934724
547,934728
548,934729
549,934733
550,934743
551,934745
552,934749
553,934758
554,934767
555,934777
556,934782
557,934786
558,934795
559,934796
560,934805
561,934826
562,934849
563,934855
564,934864
565,934865
566,934877
567,934878
568,934882
569,934894
570,934896
571,934916
572,934922
573,934925
574,934932
575,934933
576,934940
577,934957
578,934960
579,934969
580,934970
581,934987
582,934993
583,935000
584,935008
585,935014
586,935042
587,935044
588,935066
589,935092
590,935093
591,935101
592,935103
593,935105
594,935107
595,935115
596,935134
597,935135
598,935142
599,935147
600,935148
601,935170
602,935181
603,935184
604,935194
605,935206
606,935219
607,935232
608,935234
609,935255
610,935257
611,935265
612,935286
613,935293
614,935312
615,935330
616,935332
617,935336
618,935340
619,935359
620,935364
621,935367
622,935372
623,935384
624,935387
625,935399
626,935410
627,935414
628,935416
629,935435
630,935452
631,935462
632,935470
633,935482
634,935484
635,935491
636,935532
637,935536
638,935547
639,935552
640,935570
641,935593
642,935606
643,935611
644,935631
645,935634
646,935635
647,935639
648,935642
649,935649
650,935670
651,935673
652,935707
653,935724
654,935729
655,935753
656,935763
657,935776
658,935780
659,935781
660,935797
661,935830
662,935831
663,935840
664,935844
665,935867
666,935887
667,935951
668,935954
669,935959
670,935963
671,935985
672,936006
673,936009
674,936016
675,936042
676,936060
677,936063
678,936067
679,936069
680,936088
681,936105
682,936107
683,936110
684,936116
685,936124
686,936145
687,936152
688,936159
689,936170
690,936176
691,936179
692,936191
693,936205
694,936206
695,936211
696,936222
697,936226
698,936232
699,936235
700,936238
701,936246
702,936250
703,936252
704,936278
705,936292
706,936299
707,936314
708,936316
709,936317
710,936320
711,936327
712,936332
713,936340
714,936341
715,936356
716,936362
717,936386
718,936396
719,936407
720,936418
721,936428
722,936432
723,936439
724,936443
725,936481
726,936488
727,936496
728,936524
729,936525
730,936530
731,936531
732,936549
733,936550
734,936562
735,936568
736,936611
737,936624
738,936642
739,936645
740,936653
741,936655
742,936656
743,936664
744,936673
745,936688
746,936710
747,936711
748,936716
749,936724
750,936755
751,936807
752,936811
753,936818
754,936819
755,936823
756,936838
757,936842
758,936843
759,936844
760,936856
761,936867
762,936868
763,936871
764,936888
765,936911
766,936914
767,936919
768,936924
769,936935
770,936941
771,936975
772,936998
773,937035
774,937038
775,937040
776,937042
777,937052
778,937053
779,937054
780,937057
781,937074
782,937081
783,937085
784,937091
785,937099
786,937103
787,937108
788,937139
789,937143
790,937144
791,937148
792,937158
793,937164
794,937165
795,937166
796,937168
797,937174
798,937178
799,937195
800,937203
801,937220
802,937232
803,937237
804,937272
805,937297
806,937307
807,937310
808,937327
809,937333
810,937338
811,937368
812,937370
813,937371
814,937379
815,937397
816,937417
817,937419
818,937436
819,937446
820,937447
821,937457
822,937486
823,937489
824,937500
825,937502
826,937517
827,937523
828,937524
829,937551
830,937567
831,937580
832,937592
833,937606
834,937656
835,937657
836,937660
837,937661
838,937664
839,937681
840,937684
841,937689
842,937690
843,937697
844,937699
845,937711
846,937718
847,937720
848,937721
849,937723
850,937741
851,937753
852,937758
853,937760
854,937788
855,937789
856,937794
857,937802
858,937807
859,937810
860,937818
861,937827
862,937830
863,937847
864,937875
865,937878
866,937882
867,937886
868,937895
869,937898
870,937912
871,937924
872,937937
873,937949
874,937960
875,937995
876,937997
877,938011
878,938025
879,938029
880,938036
881,938042
882,938050
883,938056
884,938060
885,938062
886,938072
887,938078
888,938093
889,938098
890,938100
891,938105
892,938134
893,938145
894,938154
895,938162
896,938189
897,938206
898,938215
899,938231
900,938238
901,938250
902,938252
903,938260
904,938277
905,938279
906,938294
907,938296
908,938305
909,938313
910,938382
911,938401
912,938403
913,938426
914,938459
915,938463
916,938465
917,938481
918,938489
919,938492
920,938506
921,938513
922,938521
923,938533
924,938535
925,938566
926,938580
927,938592
928,938599
929,938601
930,938621
931,938651
932,938674
933,938688
934,938690
935,938707
936,938708
937,938714
938,938715
939,938739
940,938752
941,938765
942,938766
943,938776
944,938783
945,938787
946,938789
947,938808
948,938823
949,938834
950,938868
951,938879
952,938880
953,938890
954,938901
955,938908
956,938909
957,938915
958,938927
959,938930
960,938938
961,938952
962,938958
963,938970
964,938980
965,939012
966,939015
967,939020
968,939040
969,939094
970,939113
971,939129
972,939145
973,939148
974,939151
975,939172
976,939181
977,939234
978,939238
979,939262
980,939280
981,939290
982,939295
983,939302
984,939305
985,939307
986,939310
987,939313
988,939314
989,939329
990,939336
991,939348
992,939352
993,939359
994,939364
995,939369
996,939374
997,939378
998,939382
999,939383
1000,939390
1001,939398
1002,939407
1003,939412
1004,939414
1005,939415
1006,939434
1007,939448
1008,939450
1009,939457
1010,939480
1011,939482
